City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kysyl-Syr,RU,2022-07-23 04:56:09,63.8986,122.7617,78.84,50,67,1.7
68,Port Elizabeth,ZA,2022-07-23 04:56:10,-33.918,25.5701,58.32,81,0,10.36
69,Tura,IN,2022-07-23 04:56:10,25.5198,90.2201,83.59,75,100,0.94
70,Pevek,RU,2022-07-23 04:56:10,69.7008,170.3133,34.11,92,73,5.66
71,Araouane,ML,2022-07-23 04:56:11,18.9048,-3.5265,90.43,36,57,10.07
72,Sainte-Suzanne,RE,2022-07-23 04:56:11,-20.9061,55.6089,71.82,79,100,17.27
73,Port Alfred,ZA,2022-07-23 04:56:12,-33.5906,26.891,59.56,79,100,11.43
74,Gat,IL,2022-07-23 04:56:12,31.61,34.7642,77.68,100,1,1.25
75,Gravdal,NO,2022-07-23 04:56:12,68.1214,13.5031,52.47,89,100,12.73
76,Soyo,AO,2022-07-23 04:56:13,-6.1349,12.3689,67.23,92,66,5.17
77,Qaanaaq,GL,2022-07-23 04:56:13,77.484,-69.3632,37.0,99,100,11.45
78,Chiang Khong,TH,2022-07-23 04:56:14,20.2613,100.4046,80.04,89,81,3.22
79,Tuktoyaktuk,CA,2022-07-23 04:56:14,69.4541,-133.0374,66.2,68,75,5.75
80,Kodinsk,RU,2022-07-23 04:56:15,58.6881,99.1844,71.35,63,100,5.53
81,Passage West,IE,2022-07-23 04:56:15,51.8739,-8.3444,62.53,97,75,14.0
82,Canton,CN,2022-07-23 04:52:29,23.1167,113.25,98.55,34,0,4.45
83,Dikson,RU,2022-07-23 04:56:16,73.5069,80.5464,52.39,74,97,10.33
84,Kapaa,US,2022-07-23 04:56:16,22.0752,-159.319,82.38,76,7,1.99
85,Bluff,NZ,2022-07-23 04:56:17,-46.6,168.3333,45.81,73,2,4.59
86,Mahebourg,MU,2022-07-23 04:56:17,-20.4081,57.7,73.26,83,75,16.11
87,Cabo San Lucas,MX,2022-07-23 04:56:17,22.8909,-109.9124,86.5,72,78,7.61
88,Nanortalik,GL,2022-07-23 04:56:18,60.1432,-45.2371,45.43,84,36,2.08
89,Kolokani,ML,2022-07-23 04:56:18,13.5728,-8.0339,75.72,81,53,5.79
90,Hoquiam,US,2022-07-23 04:56:19,46.9809,-123.8893,59.45,85,6,9.64
91,Mataura,NZ,2022-07-23 04:56:19,-46.1927,168.8643,45.48,86,4,2.71
92,Vaini,TO,2022-07-23 04:56:19,-21.2,-175.2,71.76,88,75,12.66
93,Cape Town,ZA,2022-07-23 04:56:20,-33.9258,18.4232,54.12,90,75,4.0
94,Narsaq,GL,2022-07-23 04:57:20,60.9167,-46.05,46.36,77,47,1.01
95,San Carlos Del Zulia,VE,2022-07-23 04:57:21,9.0,-71.9135,75.25,92,70,4.25
96,Donceel,BE,2022-07-23 04:57:21,50.6483,5.32,59.07,94,69,1.14
97,Hasaki,JP,2022-07-23 04:57:21,35.7333,140.8333,90.0,74,0,16.89
98,Namibe,AO,2022-07-23 04:57:22,-15.1961,12.1522,60.66,91,0,4.14
99,Guerrero Negro,MX,2022-07-23 04:56:03,27.9769,-114.0611,67.12,87,22,15.05
100,Naze,JP,2022-07-23 04:57:23,28.3667,129.4833,86.92,61,80,2.06
101,Merauke,ID,2022-07-23 04:57:23,-8.4667,140.3333,79.25,83,99,15.32
102,Klyuchi,RU,2022-07-23 04:57:23,52.2667,79.1667,71.2,45,94,3.58
103,Stara Zagora,BG,2022-07-23 04:57:24,42.4328,25.6419,82.13,34,0,3.6
104,Bambous Virieux,MU,2022-07-23 04:57:24,-20.3428,57.7575,73.22,83,75,16.11
105,Lorengau,PG,2022-07-23 04:57:25,-2.0226,147.2712,85.53,68,24,9.64
106,Maldonado,UY,2022-07-23 04:57:26,-34.6667,-54.9167,52.99,98,14,5.5
107,Sitka,US,2022-07-23 04:53:08,57.0531,-135.33,53.49,87,100,8.05
108,Eureka,US,2022-07-23 04:57:26,40.8021,-124.1637,59.2,83,29,1.25
109,Vangaindrano,MG,2022-07-23 04:57:27,-23.35,47.6,66.07,85,54,1.34
